Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	AHR	Exception
170	Spectrogram 1	1	1091.326000	1091.406000	4000.000000	18000.000000	8000.000000	Twitter	7.134566	-25.662980	64.246247	0
171	Spectrogram 1	1	1091.458000	1091.538000	4000.000000	18000.000000	8000.000000	Twitter	7.032957	-25.996154	64.818956	0
172	Spectrogram 1	1	1091.578000	1091.676000	4000.000000	18000.000000	8000.000000	Twitter	8.154905	-27.565019	85.282810	0
173	Spectrogram 1	1	1091.704000	1091.814000	4000.000000	18000.000000	8000.000000	Trill	12.987633	-29.344993	76.820185	0
174	Spectrogram 1	1	1126.112000	1126.156000	4000.000000	18000.000000	8000.000000	Trill	15.188573	-37.456672	32.551243	0
175	Spectrogram 1	1	1132.982000	1133.068000	4000.000000	18000.000000	8000.000000	Trill	7.941938	-36.774095	49.106155	0
176	Spectrogram 1	1	1135.448000	1135.552000	4000.000000	18000.000000	8000.000000	Trill	14.853277	-34.017737	76.976170	0
177	Spectrogram 1	1	1135.850000	1136.518000	4000.000000	18000.000000	8000.000000	Phee	14.940308	-22.727153	183.343094	0
178	Spectrogram 1	1	1142.612000	1142.944000	4000.000000	18000.000000	8000.000000	Trill	13.489442	-34.023890	103.899198	0
179	Spectrogram 1	1	1145.816000	1145.998000	4000.000000	18000.000000	8000.000000	Trill	10.568741	-37.527889	42.349560	0
180	Spectrogram 1	1	1146.200000	1147.012000	4000.000000	18000.000000	8000.000000	Phee	12.689851	-30.430632	121.617495	0
181	Spectrogram 1	1	1155.842000	1156.126000	4000.000000	18000.000000	8000.000000	Trill	10.828738	-34.895441	78.253126	0
182	Spectrogram 1	1	1157.894000	1158.310000	4000.000000	18000.000000	8000.000000	Trill	11.133731	-35.612289	46.656972	0
183	Spectrogram 1	1	1179.902000	1180.156000	4000.000000	18000.000000	8000.000000	Trill	16.608847	-30.357919	120.591907	0
184	Spectrogram 1	1	1182.044000	1182.118000	4000.000000	18000.000000	8000.000000	Trill	13.200565	-38.831486	36.374024	0
185	Spectrogram 1	1	1184.804000	1184.944000	4000.000000	18000.000000	8000.000000	Trill	8.449764	-36.970735	33.293904	0
186	Spectrogram 1	1	1187.342000	1187.596000	4000.000000	18000.000000	8000.000000	Trill	8.911459	-34.581295	70.981150	0
187	Spectrogram 1	1	1199.198000	1199.470000	4000.000000	18000.000000	8000.000000	Trill	7.015589	-37.591270	43.803486	0
188	Spectrogram 1	1	1203.288000	1204.682000	4000.000000	18000.000000	8000.000000	Trillphee	5.095147	-32.759314	67.572743	0
189	Spectrogram 1	1	1219.686000	1220.054000	4000.000000	18000.000000	8000.000000	Trill	15.433238	-33.495903	93.262887	0
190	Spectrogram 1	1	1220.094000	1221.074000	4000.000000	18000.000000	8000.000000	Phee	4.062012	-33.695828	52.568157	1
191	Spectrogram 1	1	1224.252000	1224.344000	4000.000000	18000.000000	8000.000000	Phee	5.956319	-40.515965	37.878659	0
192	Spectrogram 1	1	1226.328000	1226.492000	4000.000000	18000.000000	8000.000000	Trill	10.207664	-37.076121	75.823467	0
193	Spectrogram 1	1	1260.876000	1260.920000	4000.000000	18000.000000	8000.000000	Twitter	4.570220	-28.817563	57.796625	1
194	Spectrogram 1	1	1260.990000	1261.064000	4000.000000	18000.000000	8000.000000	Twitter	5.361587	-25.545206	66.478254	0
195	Spectrogram 1	1	1261.128000	1261.196000	4000.000000	18000.000000	8000.000000	Twitter	5.334414	-26.452786	51.343365	0
196	Spectrogram 1	1	1261.254000	1261.316000	4000.000000	18000.000000	8000.000000	Twitter	5.846698	-26.412600	52.259637	0
197	Spectrogram 1	1	1261.374000	1261.448000	4000.000000	18000.000000	8000.000000	Twitter	4.490344	-28.503794	54.741071	1
198	Spectrogram 1	1	1261.494000	1261.574000	4000.000000	18000.000000	8000.000000	Twitter	4.347412	-30.585237	65.313070	1
199	Spectrogram 1	1	1261.626000	1261.694000	4000.000000	18000.000000	8000.000000	Twitter	8.271614	-31.566371	81.769848	0
200	Spectrogram 1	1	1267.170000	1267.442000	4000.000000	18000.000000	8000.000000	Trill	12.194471	-36.623255	75.708485	0
201	Spectrogram 1	1	1287.156000	1287.380000	4000.000000	18000.000000	8000.000000	Trill	9.836488	-33.931386	80.266334	0
202	Spectrogram 1	1	1295.718000	1296.074000	4000.000000	18000.000000	8000.000000	Trill	14.444446	-31.648624	116.153202	0
203	Spectrogram 1	1	1325.056000	1325.310000	4000.000000	18000.000000	8000.000000	Trill	14.150389	-32.816033	126.239096	0
