Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Exception
223	Spectrogram 1	3	1110.266000	1110.334000	4000.000000	18000.000000	8000.000000	Trill	18.980350	-31.861897	0
224	Spectrogram 1	3	1110.380000	1110.424000	4000.000000	18000.000000	8000.000000	Trill	18.890987	-31.240613	0
225	Spectrogram 1	3	1117.808000	1117.858000	4000.000000	18000.000000	8000.000000	Trill	9.494263	-35.335635	1
226	Spectrogram 1	3	1117.934000	1117.990000	4000.000000	18000.000000	8000.000000	Trill	9.601097	-35.174317	1
227	Spectrogram 1	3	1120.976000	1121.032000	4000.000000	18000.000000	8000.000000	Phee	11.664297	-38.656297	1
228	Spectrogram 1	3	1121.330000	1121.440000	4000.000000	18000.000000	8000.000000	Trill	18.529125	-37.340618	0
229	Spectrogram 1	3	1122.386000	1122.442000	4000.000000	18000.000000	8000.000000	Trill	18.477705	-37.017720	0
230	Spectrogram 1	3	1123.064000	1123.108000	4000.000000	18000.000000	8000.000000	Trill	11.574439	-37.709569	1
231	Spectrogram 1	3	1127.174000	1127.236000	4000.000000	18000.000000	8000.000000	Trill	16.298082	-36.682994	0
232	Spectrogram 1	3	1132.172000	1132.216000	4000.000000	18000.000000	8000.000000	Trill	15.109065	-38.141449	0
